City_ID,Weather City,Country,Date,Latitude,Longitude,Cloudiness,Humidity,Max Temperature,Wind Speed
274,perth,AU,1587252334,-31.93,115.83,75,72,69.01,20.8
275,muroto,JP,1587252360,33.28,134.15,75,51,60.8,16.11
276,hillsborough,US,1587252202,37.57,-122.38,40,55,66,14.99
277,cayeli,TR,1587252360,41.09,40.73,82,68,54.14,2.33
278,inhambane,MZ,1587252361,-23.86,35.38,35,78,74.21,13.18
279,kangaatsiaq,GL,1587252361,68.31,-53.46,97,95,24.71,9.15
280,alekseyevsk,RU,1587252361,57.84,108.35,88,86,21.11,9.55
281,mineral wells,US,1587252361,39.4,-78.95,40,39,48.2,13.87
282,bethanien,NA,1587252361,-26.5,17.16,0,19,64.78,0.87
283,fereydun kenar,IR,1587252361,34.37,46.92,40,87,44.6,0.07
284,pisco,PE,1587252320,-13.7,-76.22,17,73,70,18.34
285,iisalmi,FI,1587252361,63.56,27.19,22,69,35.6,12.75
286,leningradskiy,RU,1587252362,69.38,178.42,4,88,5.61,8.75
287,matagami,CA,1587252362,49.75,-77.63,90,41,42.8,10.29
288,norsup,VU,1587252362,-16.07,167.38,40,83,82.4,6.93
289,nehe,CN,1587252362,48.48,124.83,100,27,61.66,22.1
290,karwar,IN,1587252362,14.8,74.13,67,83,81.03,1.48
291,port hardy,CD,1587252307,-7.03,29.76,98,60,73.72,3.42
292,itaqui,BR,1587252362,-29.13,-56.55,0,66,65.16,9.06
293,emerald,AU,1587252363,-23.53,148.17,40,65,80.6,9.17
294,ahipara,NZ,1587252363,-35.17,173.17,91,74,67.3,9.64
295,upata,VE,1587252363,8.01,-62.4,80,45,81.45,8.61
296,wanxian,CN,1587252363,30.8,108.39,31,70,62.94,2.77
297,price,US,1587252363,39.6,-110.81,40,43,57,21.92
298,cabo san lucas,BR,1587252363,-8.28,-35.03,40,74,84.2,4.7
299,clyde river,US,1587252363,41.3,-82.98,22,46,53.01,5.01
300,namatanai,PG,1587252363,-3.67,152.43,96,74,83.53,6.33
301,barsi,IN,1587252429,18.23,75.7,52,27,84,8.79
302,ligourion,GR,1587252429,37.62,23.03,1,76,55.4,3
303,surt,LY,1587252429,31.21,16.59,42,69,62.04,10.92
304,loukhi,RU,1587252429,66.08,33.04,59,97,25.02,5.37
305,bathsheba,BB,1587252429,13.22,-59.52,20,69,80.6,16.11
306,anklam,DE,1587252429,53.86,13.69,16,74,43,1.01
307,sept-iles,CA,1587252220,50.2,-66.38,75,80,33.01,10.29
308,maryborough,AU,1587252430,-25.53,152.7,89,84,75,4
309,nanortalik,GL,1587252430,60.14,-45.24,89,92,28.76,5.21
310,morgan city,US,1587252430,39.72,-90.22,1,62,60.01,16.11
312,khao yoi,TH,1587252430,12.36,102.44,21,83,80.11,1.63
313,anisoc,GQ,1587252430,1.87,10.77,58,84,70.52,2.13
314,labuhan,ID,1587252354,-6.88,112.21,82,82,80.65,3.74
315,gbadolite,CD,1587252431,4.28,21.02,63,82,71.6,3.74
316,saskylakh,RU,1587252431,71.92,114.08,0,85,14.07,5.01
317,tambura,SS,1587252431,5.6,27.47,89,71,70.88,4.09
318,asfi,MA,1587252431,32.3,-9.24,32,81,61.75,5.26
319,tutoia,BR,1587252431,-2.76,-42.27,100,83,78.96,4.54
320,raudeberg,NO,1587252432,61.99,5.14,2,80,41,6.93
321,nantucket,US,1587252397,41.28,-70.1,90,93,39.99,26.4
322,khash,IR,1587252433,28.22,61.22,95,35,63.82,1.21
323,daniel flores,NG,1587252433,7.87,10.97,92,64,80.87,2.08
324,itarema,BR,1587252433,-2.92,-39.92,31,83,77.56,1.52
325,inirida,CO,1587252433,3.87,-67.92,100,95,74.12,0.96
326,yulara,AU,1587252433,-25.24,130.99,22,37,69.8,9.17
327,san pedro de uraba,ML,1587252433,13.3,-4.9,99,21,94.12,8.41
328,san vicente,ML,1587252358,13.3,-4.9,99,21,94.12,8.41
330,ibia,BR,1587252433,-19.48,-46.54,100,78,71.6,9.17
331,severnyy,RU,1587252434,50.68,36.55,2,55,37.4,2.24
332,ilulissat,GL,1587252435,69.22,-51.1,100,85,23,8.05
333,bonnyville,CA,1587252435,54.27,-110.73,75,42,44.6,14.99
334,aklavik,CA,1587252435,68.22,-135.01,90,79,24.8,6.93
335,alta floresta,NO,1587252435,69.97,23.27,100,88,35.6,4.7
336,fuyu,CN,1587252435,45.18,124.82,100,27,62.62,18.84
337,avarua,CK,1587252435,-21.21,-159.78,70,69,82.4,5.82
339,okhotsk,RU,1587252435,59.38,143.3,0,84,15.06,13.6
341,sao filipe,IN,1587252436,20.51,76.21,30,25,81.41,3.51
342,poronaysk,RU,1587252436,49.22,143.12,89,89,33.75,6.89
343,lake charles,US,1587252367,42.33,-88,1,58,57.2,25.28
344,malakal,SS,1587252436,9.53,31.66,91,12,84.29,4.59
345,victoria,HK,1587252193,22.29,114.16,43,88,75,4
346,ahuimanu,US,1587252222,21.44,-157.84,40,51,84.2,8.05
347,savannakhet,LA,1587252437,16.57,104.75,68,54,83.32,2.66
348,brae,GB,1587252438,60.4,-1.35,0,86,42.8,8.05
349,palu,ID,1587252438,-0.89,119.87,87,66,83.07,2.21
350,faanui,PF,1587252439,-16.48,-151.75,25,74,82.78,10.63
351,san francisco,ML,1587252434,13.3,-4.9,99,21,94.12,8.41
352,acari,PE,1587252504,-15.43,-74.62,9,61,73.49,3.11
353,osorio,BR,1587252504,-29.89,-50.27,4,81,66,9.75
354,grand gaube,US,1587252504,38.88,-109.5,40,22,66.2,16.11
355,san jeronimo,ML,1587252358,13.3,-4.9,99,21,94.12,8.41
356,kawalu,ID,1587252504,-7.38,108.21,100,74,75.07,2.19
357,zhigansk,RU,1587252504,66.77,123.37,78,93,6.84,12.3
358,mayo,US,1587252228,38.89,-76.51,1,43,52,8.1
359,kholodnyy,RU,1587252505,62.72,147.95,100,77,0.36,8.19
360,pangnirtung,CA,1587252505,66.15,-65.71,97,85,3.31,4.18
361,sanica,BA,1587252505,44.61,16.64,99,71,55.4,5.82
362,sovetskiy,RU,1587252505,61.36,63.58,94,91,36.23,10.36
363,arrecife,ES,1587252505,28.96,-13.55,20,72,64.4,10.29
364,puri,IN,1587252505,19.8,85.85,40,88,75.2,14.63
365,evensk,RU,1587252506,61.95,159.23,100,88,18.86,11.7
366,marandahalli,IN,1587252506,12.4,78,0,70,72.45,0.69
367,pareora,NZ,1587252506,-44.49,171.21,12,44,60.01,11.99
368,cascais,PT,1587252506,38.7,-9.42,2,87,59,13.51
369,naze,JP,1587252506,28.37,129.48,75,88,71.6,11.41
370,seymchan,RU,1587252506,62.88,152.43,100,85,3.47,13.76
371,shenjiamen,CN,1587252506,29.96,122.3,100,97,60.33,15.3
372,coahuayana,MX,1587252506,18.73,-103.68,20,45,86,11.41
373,eyemouth,GB,1587252450,55.87,-2.09,0,91,35.01,6.31
374,beian,NO,1587252507,63.66,9.57,75,93,42.8,5.82
375,puerto penasco,ES,1587252507,36.59,-6.23,42,82,62.6,8.05
376,kaduqli,SD,1587252507,11.02,29.72,65,15,76.59,5.55
377,quelimane,MZ,1587252507,-17.88,36.89,75,88,78.8,6.93
378,griffith,US,1587252507,41.53,-87.42,1,43,57.2,23.04
379,madang,PG,1587252507,-5.22,145.8,100,77,81.19,3.51
380,maningrida,AU,1587252508,-12.07,134.27,100,73,81.03,4.94
381,athabasca,CA,1587252508,54.72,-113.29,35,50,43.59,7.36
382,mogwase,ZA,1587252508,-25.18,27.27,0,38,63.68,1.16
383,peru,US,1587252508,40.75,-86.07,1,62,54,17.22
384,valparaiso,CL,1587252508,-33.04,-71.63,83,68,71.6,13.87
385,ostrovnoy,RU,1587252508,68.05,39.51,98,98,31.75,9.89
386,aksarka,RU,1587252508,66.56,67.8,100,96,32.41,4.74
388,bumba,CD,1587252509,2.18,22.47,92,83,70.48,1.34
389,okato,NZ,1587252509,-39.2,173.88,79,66,64,7
390,keti bandar,AM,1587252509,40.87,43.84,40,57,48.2,9.17
391,saint-joseph,RE,1587252509,-21.37,55.62,40,78,77,12.75
392,disa,IN,1587252509,24.25,72.17,78,47,77.61,7.63
393,bratsk,RU,1587252509,56.13,101.61,0,45,23,4.47
394,leua,SK,1587252509,48.22,18.61,100,61,50,2.24
395,kyaikkami,MM,1587252509,16.08,97.57,5,69,78.87,4.88
396,houma,US,1587252510,29.6,-90.72,90,88,72,5.75
